nome;contato;responsavel;valor;data_inicio;rede_social;origem;indicado_por;setor_indicado;plano;pipeline;observacoes
Disel - Distribuidora;64996038300;;;2024-09-14;Prospecção na SUDOEXPO;Organico;;;Plano Empresarial;Proposta;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: Prospecção na SUDOEXPO | Cidade: RIO VERDE | Contato pessoa: DIVINO - Proprietário | Detalhes: Não demonstra interesse | Status 1: Apresentamos o Plano para senhor Divino, proprietário da empresa, ele demonstrou interesse ficamos de marcar para próxima semana, porém não está atendendo e nem respondendo as mensagens.
Segmenta Agro;64996430466;;;2024-09-11;Prospecção na SUDOEXPO;Organico;;;Plano Empresarial;Proposta;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: Prospecção na SUDOEXPO | Cidade: RIO VERDE | Contato pessoa: Vera - Proprietária | Detalhes: Não está mais respondendo as mensagens | Status 1: Apresentamos o Plano para senhora Vera, proprietária da empresa, ele demonstrou interesse ficamos de marcar reunião, porém não está atendendo e nem respondendo as mensagens.
MAFER MÓVEIS PARA ESCRITÓRIO;64993303003;;;2024-09-14;Prospecção na SUDOEXPO;Organico;;;Plano Empresarial;Proposta;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: Prospecção na SUDOEXPO | Cidade: RIO VERDE | Contato pessoa: Fernando - Proprietário | Detalhes: Aguardando retorno dele. | Status 1: Apresentamos o Plano para o Fernando, proprietário da empresa, ele demonstrou interesse ficamos de marcar reunião para apresentar para os colaboradores.
CONQUISTA SUPERMERCADO;64992814097;;;2024-09-13;Prospecção na SUDOEXPO;Organico;;;Plano Empresarial;Proposta;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: Prospecção na SUDOEXPO | Cidade: RIO VERDE | Contato pessoa: Janaine - RH | Detalhes: Aguardando retorno dela. | Status 1: Apresentamos o Plano para Janaine, Analista de RH, ela demonstrou interesse ficamos de marcar reunião para apresentar para os colaboradores.
Comstrumel;6436024301;;;2024-09-18;Prospecção;Organico;;;Plano Empresarial;Cancelado;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: Prospecção | Cidade: RIO VERDE | Contato pessoa: Neto | Detalhes: Não tem interesse | Status 1: Enviamos mensagem para tentar apresentar o plano e não teve interesse.
Village Calçados;64984422107;;;2024-09-10;Prospecção;Organico;;;Plano Empresarial;Cancelado;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: Prospecção | Cidade: RIO VERDE | Contato pessoa: Financeiro | Detalhes: Não tem interesse | Status 1: Enviamos mensagem para tentar apresentar o plano e não teve interesse.
Eletro Cabral;64999875491;;;2024-09-11;Prospecção na SUDOEXPO;Organico;;;Plano Empresarial;Cancelado;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: Prospecção na SUDOEXPO | Cidade: RIO VERDE | Contato pessoa: Aildo - Proprietário | Detalhes: Não tem interesse | Status 1: Apresentamos o Plano para o Srº Aildo, proprietário da empresa, ele demonstrou interesse ficamos de marcar reunião para apresentar para os colaboradores. Porém não atende e nem responde mensagem.
IPGSE;64999785809;;;2024-09-12;Prospecção na SUDOEXPO;Organico;;;Plano Empresarial;Proposta;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: Prospecção na SUDOEXPO | Cidade: RIO VERDE | Contato pessoa: Romero - Diretor Administrativo | Detalhes: Não demonstra interesse | Status 1: Apresentamos o Plano para o Srº Romero, Diretor da empresa, ele demonstrou interesse ficamos de marcar reunião para apresentar para os colaboradores. Porém não atende e nem responde mensagem.
Casa Lumi Lorena;6421411726;;;2024-09-16;Prospecção;Organico;;;Plano Empresarial;Proposta;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: Prospecção | Cidade: RIO VERDE | Detalhes: Não demonstra interesse | Status 1: Enviamos mensagem para tentar apresentar o plano e não teve interesse.
ControlTech Automação Industrial;64992438898;;;2024-09-10;Prospecção;Organico;;;Plano Empresarial;Proposta;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: Prospecção | Cidade: RIO VERDE | Detalhes: Aguardando resposta dela | Status 1: Enviamos mensagem para tentar apresentar o plano, ficou de apresentar para Direção da Empresa.
SOAGRO;6421014009;;;2024-09-13;Prospecção na SUDOEXPO;Organico;;;Plano Empresarial;Proposta;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: Prospecção na SUDOEXPO | Cidade: RIO VERDE | Contato pessoa: Elmara - RH | Detalhes: Aguardando resposta dela | Status 1: Apresentamos o Plano para Elmara, responsável pelo RH da empresa, ele demonstrou interesse ficamos de marcar reunião para apresentar para os colaboradores.
Meta Materiais Eletricos;6436236147;;;2024-09-10;Prospecção;Organico;;;Plano Empresarial;Cancelado;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: Prospecção | Cidade: RIO VERDE | Contato pessoa: Pollyana | Detalhes: Não demonstra interesse | Status 1: Enviamos mensagem para tentar apresentar o plano, responderam que nesse momento não tem interesse.
Real Ar-Condicionado automotivo;64993240419;;;2024-09-10;Prospecção;Organico;;;Plano Empresarial;Cancelado;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: Prospecção | Cidade: RIO VERDE | Contato pessoa: Raylane - RH | Detalhes: Não demonstra interesse | Status 1: Enviamos mensagem para tentar apresentar o plano, responderam que nesse momento não tem interesse.
RIVERLATAS;64999884176;;;2024-09-10;Prospecção;Organico;;;Plano Empresarial;Proposta;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: Prospecção | Cidade: RIO VERDE | Contato pessoa: Givago - Proprietário | Detalhes: Não demonstra interesse | Status 1: Enviado proposta para o GIVAGO, apresentado o plano, porém demonstrou pouco interesse no plano.
Helen Joias e SemiJoias;6421422290;;;2024-08-06;ligação;Organico;;;Plano Empresarial;Novos Leads;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: ligação | Status 1: Vai falar com a proprietária
Ciclone Produtos De Limpeza;6436132148;;;2024-08-06;ligação;Organico;;;Plano Empresarial;Proposta;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: ligação | Cidade: RIO VERDE | Contato pessoa: Jully Proprietária | Status 1: Marcamos com a cliente para quando chegar de viagem, apresentar o plano para ela, tem 7 colaboradores
Multilimp;6430504699;;;2024-08-06;;Organico;;;Plano Empresarial;Novos Leads;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas)
AUTORIO VEICULOS;6421015100;;;2024-08-09;CDL;Organico;;;Plano Empresarial;Novos Leads;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: CDL | Cidade: RIO VERDE | Contato pessoa: ALCEU/ ARCELIO/FRANCIELLE MENDONCA DOS SANTOS(PROCURADORA) | Detalhes: Enviar e-mail dia 10/08/2024 | Status 1: Falamos com a Vera, Coordenadora de RH, pediu para enviar e-mail para marcar um bate papo sobre o plano.
KABEDAL CALCADOS E ESPORTIVA;6436210305;;;2024-08-08;CDL;Organico;;;Plano Empresarial;Em Contato;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: CDL | Cidade: RIO VERDE | Contato pessoa: GERALDO AFONSO DE GOUVEIA | Status 1: Falamos com a Patricia, ela passou o contato do Lazaro Gerente, vamos ligar na segunda feira
VILLAGE;6436213560;;;2024-08-09;CDL;Organico;;;Plano Empresarial;Proposta;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: CDL | Cidade: RIO VERDE | Contato pessoa: ALECIO WAGNER DUARTE PIRES/ABILIO CABRAL DA SILVA | Status 1: Falamos com a Poliana, ela passou o contato do Ronimar Supervisor Administrativo, enviamos mensagem aguardando resposta.
RODO JUNIOR;6492244352;;;2024-08-06;ligação;Organico;;;Plano Empresarial;Proposta;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: ligação | Cidade: RIO VERDE | Contato pessoa: Karina | Status 1: Realizado novo contato, com a responsável pelo administrativo Karina, ainda não respondeu sobre o agendamento da apresentação.
SEMENTES SÃO FRANCISCO;6421012942;;;2024-08-07;Prospecção;Organico;;;Plano Empresarial;Proposta;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: Prospecção | Cidade: RIO VERDE | Contato pessoa: Alex | Status 1: Em contato com o responsável pelo RH, estamos conversando para marcar com eles, para apresentar nosso plano empresarial.
NASA CAMINHÕES;6436116000;;;2024-08-06;CDL;Organico;;;Plano Empresarial;Novos Leads;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: CDL | Cidade: RIO VERDE | Contato pessoa: ARISTARCHO GONCALVES DE MELO | Detalhes: Enviado e-mail no dia 31.07 | Status 1: Falado com Geovana RH local, solicitou que material explicativo, para compartilhar com a central em Goiânia.
Pede Açaí;6492200954;;;2024-08-06;Mensagem;Organico;;;Plano Empresarial;Proposta;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: Mensagem | Cidade: RIO VERDE | Contato pessoa: Mensagem | Status 1: Não respondeu se tem interesse
IMOBILIARIA LION;6430553934;;;2024-08-09;CDL;Organico;;;Plano Empresarial;Em Contato;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: CDL | Cidade: RIO VERDE | Contato pessoa: DANIELLE LEAO PROTO | Detalhes: Ligar na semana que vem 12.08.2024 | Status 1: Falamos com o Jeferson - Ligar segunda para ver se a Daniele já chegou de Goiânia
SICOOB UNISAUDE GOIAS;6436235259;;;2024-08-09;CDL;Organico;;;Plano Empresarial;Em Contato;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: CDL | Cidade: RIO VERDE | Contato pessoa: PAULO ROBERTO DA SILVA | Detalhes: Tentar falar com algum colaborador | Status 1: Não conseguimos contato via fone, não atende.
PREMIUM NEGOCIOS IMOBILIARIOS;6436239991;;;2024-08-09;CDL;Organico;;;Plano Empresarial;Em Contato;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: CDL | Cidade: RIO VERDE | Contato pessoa: JOAO VITOR CINTRA SIELKIS | Status 1: Não conseguimos contato via fone, não atende.
BOMBAS & CIA MANUTENCOES HIDRAULICAS;6436221466;;;2024-08-09;CDL;Organico;;;Plano Empresarial;Em Contato;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: CDL | Cidade: RIO VERDE | Contato pessoa: MARCOS MENDES DE SOUZA | Status 1: Ligar na segunda feira 12.08.2024
CONTE AERO;6436232094;;;2024-08-09;CDL;Organico;;;Plano Empresarial;Em Contato;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: CDL | Cidade: RIO VERDE | Contato pessoa: DORIVAL CONTE | Status 1: Não conseguimos contato via fone, não atende.
N TENDAS;6436126666;;;2024-08-09;CDL;Organico;;;Plano Empresarial;Proposta;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: CDL | Cidade: RIO VERDE | Contato pessoa: JULIANA MAFFEI GAGLIARDI | Status 1: Falamos com o Carlos Henrique, disse não ter interesse
MEL E LIMAO;6436212195;;;2024-08-07;CDL;Organico;;;Plano Empresarial;Em Contato;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: CDL | Cidade: RIO VERDE | Contato pessoa: MARIA SUELI CARRARA DO AMARAL | Detalhes: Fazer visita no bairro Popular | Status 1: Não conseguimos contato via fone, não atende.
Farmácia Artesanal;64999372244;;;2024-08-06;Ligação/Mensagem;Organico;;;Plano Empresarial;Novos Leads;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: Ligação/Mensagem | Cidade: RIO VERDE | Contato pessoa: Vânia / Marcelo - 99977-2439 | Status 1: Ligamos e falamos com a Vânia, ela passou o contato do Proprietário Marcelo.
Online Truck Center;6492513627;;;2024-08-06;Ligação / Mensagem;Organico;;;Plano Empresarial;Novos Leads;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: Ligação / Mensagem | Cidade: RIO VERDE | Contato pessoa: Jaqueline | Status 1: Ligamos e falamos com a Secretária, ela passou o telefone da Jaqueline, proprietária.
Rosa (Supermercado);6430501337;;;2024-08-06;ligação;Organico;;;Plano Empresarial;Proposta;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: ligação | Cidade: RIO VERDE | Contato pessoa: Roberto | Status 1: Ligamos e falamos com o Proprietário, que não teve interesse neste momento.
Real (Supermercado);6436216917;;;2024-08-06;ligação;Organico;;;Plano Empresarial;Proposta;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: ligação | Cidade: RIO VERDE | Status 1: Ligamos e falamos com o Proprietário, que não teve interesse neste momento.
Julião (Supermercado);6436132248;;;2024-08-06;ligação;Organico;;;Plano Empresarial;Proposta;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: ligação | Cidade: RIO VERDE | Status 1: Ligamos e falamos com o Proprietário, que não teve interesse neste momento.
Super Max (Supermercado);6436235958;;;2024-08-06;ligação;Organico;;;Plano Empresarial;Proposta;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: ligação | Cidade: RIO VERDE | Status 1: Ligamos e falamos com o Proprietário, que não teve interesse neste momento.
Mega (Supermercado);6436123270;;;2024-08-06;ligação;Organico;;;Plano Empresarial;Proposta;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: ligação | Cidade: RIO VERDE | Status 1: Ligamos e falamos com o Proprietário, que não teve interesse neste momento.
Sierra Frios e Embalagens;6436131224;;;2024-08-06;ligação;Organico;;;Plano Empresarial;Proposta;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: ligação | Cidade: RIO VERDE | Status 1: Ligamos e falamos com o Proprietário, que não teve interesse neste momento.
União (Supermercado);6436123051;;;2024-08-06;ligação;Organico;;;Plano Empresarial;Proposta;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: ligação | Cidade: RIO VERDE | Status 1: Ligamos e falamos com o Proprietário, que não teve interesse neste momento.
Comercial Costa;6436239393;;;2024-08-06;ligação;Organico;;;Plano Empresarial;Proposta;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: ligação | Cidade: RIO VERDE | Status 1: Ligamos e falamos com o Proprietário, que não teve interesse neste momento.
Nobre (Supermercado);6499026998;;;2024-08-06;ligação;Organico;;;Plano Empresarial;Proposta;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: ligação | Cidade: RIO VERDE | Status 1: Ligamos e falamos com o Proprietário, que não teve interesse neste momento.
Prime (Supermercado);6493002483;;;2024-08-06;ligação;Organico;;;Plano Empresarial;Proposta;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: ligação | Cidade: RIO VERDE | Status 1: Ligamos e falamos com o Proprietário, que não teve interesse neste momento.
Dinamite (Supermercado) Marcel;64999870221;;;2024-08-06;Telef/Mensagem;Organico;;;Plano Empresarial;Em Contato;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: Telef/Mensagem | Cidade: RIO VERDE | Contato pessoa: Marciel | Status 1: Ligamos não atendeu, enviamos mensagem falando sobre a campanha que estamos fazendo
Empório MM;64999788893;;;2024-08-07;Ligação / Mensagem;Organico;;;Plano Empresarial;Proposta;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: Ligação / Mensagem | Cidade: RIO VERDE | Contato pessoa: Milo | Status 1: Ligamos para falar sobre a campanha e o mesmo não atendeu, enviei mensagem estamos aguardando retorno,
Rio Tropical Transportes;6436210512;;;2024-08-06;Mensagem;Organico;;;Plano Empresarial;Novos Leads;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: Mensagem | Cidade: RIO VERDE | Status 1: Ligamos e o responsavel não estava, enviamos mensagens para ele falando da campanha.
Ponto Net;64984132020;;;2024-08-06;Ligação;Organico;;;Plano Empresarial;Proposta;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: Ligação | Cidade: RIO VERDE | Contato pessoa: Cley Sandro | Status 1: Ligamos e falamos com o Proprietário, que não teve interesse neste momento.
Criatec;6436221571;;;;;Organico;;;Plano Empresarial;Novos Leads;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas)
Farmácia do Povo;6436238118;;;2024-08-06;Mensagem;Organico;;;Plano Empresarial;Proposta;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: Mensagem | Cidade: RIO VERDE | Status 1: Enviamos mensagem solicitando o contato do RH, aguardando retorno.
Dfibra;6436134752;;;2024-08-01;;Organico;;;Plano Empresarial;Novos Leads;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Cidade: RIO VERDE | Contato pessoa: Lara (Atendente) | Status 1: Ligamos e falamos com a Lara, ela passou o contato do proprietário, vamos entrar em contato e tentar marcar com ele.
Jeomaq Fabricação De Telas;64992637170;;;2024-08-01;;Organico;;;Plano Empresarial;Cancelado;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Cidade: RIO VERDE | Contato pessoa: Anna (Proprietária) | Detalhes: Não tem interesse | Status 1: Ligamos e falamos com a Ana proprietária, para marcar um horário para apresentar, porém nesse momento eles não tem interesse.
Casa Da Limpeza;6436215069;;;2024-08-01;;Organico;;;Plano Empresarial;Cancelado;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Cidade: RIO VERDE | Contato pessoa: Rodrigo/Leonardo | Detalhes: Não tem interesse | Status 1: Ligamos e falamos com o Leonardo proprietário, para marcar um horário, porém não tem interesse.
Torneadora Brasil;64993275244;;;2024-08-01;;Organico;;;Plano Empresarial;Proposta;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Cidade: RIO VERDE | Detalhes: Aguardando resposta | Status 1: Não atendeu o telefone, enviamos mensagem
Agrideia Mec De Precisão;6436120699;;;2024-08-01;;Organico;;;Plano Empresarial;Em Contato;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Cidade: RIO VERDE | Contato pessoa: Jessica | Detalhes: Ligar mais tarde | Status 1: Falamos com e Jessica atendente, os proprietários não estavam.
Biscoito Jesus E Bom;64984449424;;;2024-08-01;;Organico;;;Plano Empresarial;Proposta;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Cidade: RIO VERDE | Detalhes: Aguardando retorno do Everaldo | Status 1: Falei com o Everaldo para nós apoiar com o pessoal da empresa, visto que eles tem contato a bastante tempo.
Instituto Visão;64996080188;;;2024-07-26;;Organico;;;Plano Empresarial;Proposta;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Cidade: RIO VERDE | Contato pessoa: José Ramalho | Status 1: Entramos em contato e foi marcado para apresentar o plano dia 01.08.2024.
Rio Verde Madeiras;64992028185;;;2024-07-31;;Organico;;;Plano Empresarial;Novos Leads;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Cidade: RIO VERDE | Contato pessoa: Igor | Status 1: Esta avaliando a possibilidade de marcarmos reunião com eles.
Pressão Turbos;64992757942;;;2024-07-31;;Organico;;;Plano Empresarial;Em Contato;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Cidade: RIO VERDE | Detalhes: Não respondeu até hoje | Status 1: Ligamos e não atendeu, enviamos mensagem via WhatsApp
WF Torno;64984321620;;;2024-07-31;;Organico;;;Plano Empresarial;Em Contato;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Cidade: RIO VERDE | Detalhes: Não respondeu até hoje | Status 1: Ligamos e não atendeu, enviamos mensagem via WhatsApp
Gna Transportes;64981117395;;;2024-07-31;;Organico;;;Plano Empresarial;Em Contato;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Cidade: RIO VERDE | Detalhes: Não respondeu até hoje | Status 1: Ligamos e não atendeu, enviamos mensagem via WhatsApp
Xerox Avenida;64992300650;;;2024-07-31;;Organico;;;Plano Empresarial;Em Contato;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Cidade: RIO VERDE | Status 1: Não atendeu e enviamos mensagem, esperando resposta.
Mastercraft;6436022723;;;2024-07-31;;Organico;;;Plano Empresarial;Em Contato;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Cidade: RIO VERDE | Status 1: Estamos em contato, retornar a partir das 13:30h
D&F Papelaria;64992169965;;;2024-07-31;;Organico;;;Plano Empresarial;Em Contato;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Cidade: RIO VERDE | Status 1: Não atendeu e enviamos mensagem, esperando resposta.
RK Ar Condicionado;64992275886;;;2024-07-31;;Organico;;;Plano Empresarial;Em Contato;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Cidade: RIO VERDE | Status 1: Não atendeu e enviamos mensagem, esperando resposta.
Múltipla Escolha Marmoraria;6436212018;;;2024-07-27;;Organico;;;Plano Empresarial;Cancelado;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Cidade: RIO VERDE | Contato pessoa: Natália - Gerente | Status 1: No momento eles não tem interesse em fazer o plano, deixou aberto para futuros contatos.
Desentupidora RV;64981432901;;;2024-07-27;;Organico;;;Plano Empresarial;Novos Leads;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Cidade: RIO VERDE | Status 1: Empresa com apenas um colaborador, não sendo possível fazer o plano empresarial.
FORMATO COMUNICACAO VISUAL;6436127777;;;2024-08-09;CDL;Organico;;;Plano Empresarial;Em Contato;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: CDL | Cidade: RIO VERDE | Contato pessoa: JOSE ALVES DA SILVA | Detalhes: Ligar na semana que vem 15.08.2024 | Status 1: Ligamos e falamos com o Flávio, pediu para ligar no dia 15.08.2024 para falar com o proprietário.
Tucano Mudanças;64999582494;;;2024-08-08;Prospecção;Organico;;;Plano Empresarial;Em Contato;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: Prospecção | Cidade: RIO VERDE | Status 1: Enviado Mensagem 14/10/2024
Tecprint;64981187215;;;;;Organico;;;Plano Empresarial;Em Contato;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Status 1: Enviado Mensagem 14/10/2024
Furacão;6436132273;;;2024-08-06;;Organico;;;Plano Empresarial;Novos Leads;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas)
CSJ - Fabricas de Rações;64992425610;;;2024-08-14;Prospecção;Organico;;;Plano Empresarial;Em Contato;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: Prospecção | Cidade: RIO VERDE | Contato pessoa: Grazyelly | Status 1: Enviamos mensagem para o RH
