nome;contato;responsavel;valor;data_inicio;rede_social;origem;indicado_por;setor_indicado;plano;pipeline;observacoes
Casa Lumi Lorena;6421411726;;;2024-09-16;Field Sales;Organico;;;Plano Empresarial;Apresentação/Negociação;Não demonstra interesse | Enviamos mensagem para tentar apresentar o plano e não teve interesse.
ControlTech Automação Industrial;64992438898;;;2024-09-10;Field Sales;Organico;;;Plano Empresarial;Apresentação/Negociação;Aguardando resposta dela | Enviamos mensagem para tentar apresentar o plano, ficou de apresentar para Direção da Empresa.
SOAGRO;6421014009;;;2024-09-13;SUDOEXPO;Organico;;;Plano Empresarial;Apresentação/Negociação;Aguardando resposta dela | Apresentamos o Plano para Elmara, responsável pelo RH da empresa, ele demonstrou interesse ficamos de marcar reunião para apresentar para os colaboradores.
Meta Materiais Eletricos;6436236147;;;2024-09-10;Field Sales;Organico;;;Plano Empresarial;Não tem interesse;Não demonstra interesse | Enviamos mensagem para tentar apresentar o plano, responderam que nesse momento não tem interesse.
Real Ar-Condicionado automotivo;64993240419;;;2024-09-10;Field Sales;Organico;;;Plano Empresarial;Não tem interesse;Não demonstra interesse | Enviamos mensagem para tentar apresentar o plano, responderam que nesse momento não tem interesse.
RIVERLATAS;64999884176;;;2024-09-10;Field Sales;Organico;;;Plano Empresarial;Apresentação/Negociação;Não demonstra interesse | Enviado proposta para o GIVAGO, apresentado o plano, porém demonstrou pouco interesse no plano.
Helen Joias e SemiJoias;6421422290;;;2024-08-06;ligação;Organico;;;Plano Empresarial;Follow-Up;Vai falar com a proprietária
Ciclone Produtos De Limpeza;6436132148;;;2024-08-06;ligação;Organico;;;Plano Empresarial;Apresentação/Negociação;Marcamos com a cliente para quando chegar de viagem, apresentar o plano para ela, tem 7 colaboradores
Multilimp;6430504699;;;2024-08-06;;Organico;;;Plano Empresarial;Follow-Up;
AUTORIO VEICULOS;6421015100;;;2024-08-09;CDL;Organico;;;Plano Empresarial;Follow-Up;Enviar e-mail dia 10/08/2024 | Falamos com a Vera, Coordenadora de RH, pediu para enviar e-mail para marcar um bate papo sobre o plano.
KABEDAL CALCADOS E ESPORTIVA;6436210305;;;2024-08-08;CDL;Organico;;;Plano Empresarial;Follow-Up;Falamos com a Patricia, ela passou o contato do Lazaro Gerente, vamos ligar na segunda feira
VILLAGE;6436213560;;;2024-08-09;CDL;Organico;;;Plano Empresarial;Follow-Up;Falamos com a Poliana, ela passou o contato do Ronimar Supervisor Administrativo, enviamos mensagem aguardando resposta.
RODO JUNIOR;6492244352;;;2024-08-06;ligação;Organico;;;Plano Empresarial;Não responde;Realizado novo contato, com a responsável pelo administrativo Karina, ainda não respondeu sobre o agendamento da apresentação.
SEMENTES SÃO FRANCISCO;6421012942;;;2024-08-07;Field Sales;Organico;;;Plano Empresarial;Apresentação/Negociação;Em contato com o responsável pelo RH, estamos conversando para marcar com eles, para apresentar nosso plano empresarial.
NASA CAMINHÕES;6436116000;;;2024-08-06;CDL;Organico;;;Plano Empresarial;Follow-Up;Enviado e-mail no dia 31.07 | Falado com Geovana RH local, solicitou que material explicativo, para compartilhar com a central em Goiânia.
Pede Açaí;6492200954;;;2024-08-06;Mensagem;Organico;;;Plano Empresarial;Não responde;Não respondeu se tem interesse
IMOBILIARIA LION;6430553934;;;2024-08-09;CDL;Organico;;;Plano Empresarial;Follow-Up;Ligar na semana que vem 12.08.2024 | Falamos com o Jeferson - Ligar segunda para ver se a Daniele já chegou de Goiânia
SICOOB UNISAUDE GOIAS;6436235259;;;2024-08-09;CDL;Organico;;;Plano Empresarial;Não responde;Tentar falar com algum colaborador | Não conseguimos contato via fone, não atende.
PREMIUM NEGOCIOS IMOBILIARIOS;6436239991;;;2024-08-09;CDL;Organico;;;Plano Empresarial;Não responde;Não conseguimos contato via fone, não atende.
BOMBAS & CIA MANUTENCOES HIDRAULICAS;6436221466;;;2024-08-09;CDL;Organico;;;Plano Empresarial;Follow-Up;Ligar na segunda feira 12.08.2024
CONTE AERO;6436232094;;;2024-08-09;CDL;Organico;;;Plano Empresarial;Não responde;Não conseguimos contato via fone, não atende.
N TENDAS;6436126666;;;2024-08-09;CDL;Organico;;;Plano Empresarial;Apresentação/Negociação;Falamos com o Carlos Henrique, disse não ter interesse
MEL E LIMAO;6436212195;;;2024-08-07;CDL;Organico;;;Plano Empresarial;Não responde;Fazer visita no bairro Popular | Não conseguimos contato via fone, não atende.
Farmácia Artesanal;64999372244;;;2024-08-06;Ligação/Mensagem;Organico;;;Plano Empresarial;Follow-Up;Ligamos e falamos com a Vânia, ela passou o contato do Proprietário Marcelo.
Online Truck Center;6492513627;;;2024-08-06;Ligação / Mensagem;Organico;;;Plano Empresarial;Follow-Up;Ligamos e falamos com a Secretária, ela passou o telefone da Jaqueline, proprietária.
Rosa (Supermercado);6430501337;;;2024-08-06;ligação;Organico;;;Plano Empresarial;Apresentação/Negociação;Ligamos e falamos com o Proprietário, que não teve interesse neste momento.
Real (Supermercado);6436216917;;;2024-08-06;ligação;Organico;;;Plano Empresarial;Apresentação/Negociação;Ligamos e falamos com o Proprietário, que não teve interesse neste momento.
Julião (Supermercado);6436132248;;;2024-08-06;ligação;Organico;;;Plano Empresarial;Apresentação/Negociação;Ligamos e falamos com o Proprietário, que não teve interesse neste momento.
Super Max (Supermercado);6436235958;;;2024-08-06;ligação;Organico;;;Plano Empresarial;Apresentação/Negociação;Ligamos e falamos com o Proprietário, que não teve interesse neste momento.
Mega (Supermercado);6436123270;;;2024-08-06;ligação;Organico;;;Plano Empresarial;Apresentação/Negociação;Ligamos e falamos com o Proprietário, que não teve interesse neste momento.
Sierra Frios e Embalagens;6436131224;;;2024-08-06;ligação;Organico;;;Plano Empresarial;Apresentação/Negociação;Ligamos e falamos com o Proprietário, que não teve interesse neste momento.
União (Supermercado);6436123051;;;2024-08-06;ligação;Organico;;;Plano Empresarial;Apresentação/Negociação;Ligamos e falamos com o Proprietário, que não teve interesse neste momento.
Comercial Costa;6436239393;;;2024-08-06;ligação;Organico;;;Plano Empresarial;Apresentação/Negociação;Ligamos e falamos com o Proprietário, que não teve interesse neste momento.
Nobre (Supermercado);6499026998;;;2024-08-06;ligação;Organico;;;Plano Empresarial;Apresentação/Negociação;Ligamos e falamos com o Proprietário, que não teve interesse neste momento.
Prime (Supermercado);6493002483;;;2024-08-06;ligação;Organico;;;Plano Empresarial;Apresentação/Negociação;Ligamos e falamos com o Proprietário, que não teve interesse neste momento.
Dinamite (Supermercado) Marcel;64999870221;;;2024-08-06;Telef/Mensagem;Organico;;;Plano Empresarial;Não responde;Ligamos não atendeu, enviamos mensagem falando sobre a campanha que estamos fazendo
Empório MM;64999788893;;;2024-08-07;Ligação / Mensagem;Organico;;;Plano Empresarial;Não responde;Ligamos para falar sobre a campanha e o mesmo não atendeu, enviei mensagem estamos aguardando retorno,
Rio Tropical Transportes;6436210512;;;2024-08-06;Mensagem;Organico;;;Plano Empresarial;Follow-Up;Ligamos e o responsavel não estava, enviamos mensagens para ele falando da campanha.
Ponto Net;64984132020;;;2024-08-06;Ligação;Organico;;;Plano Empresarial;Apresentação/Negociação;Ligamos e falamos com o Proprietário, que não teve interesse neste momento.
Criatec;6436221571;;;2024-01-01;;Organico;;;Plano Empresarial;Follow-Up;
Farmácia do Povo;6436238118;;;2024-08-06;Mensagem;Organico;;;Plano Empresarial;Follow-Up;Enviamos mensagem solicitando o contato do RH, aguardando retorno.
Dfibra;6436134752;;;2024-08-01;;Organico;;;Plano Empresarial;Follow-Up;Ligamos e falamos com a Lara, ela passou o contato do proprietário, vamos entrar em contato e tentar marcar com ele.
Jeomaq Fabricação De Telas;64992637170;;;2024-08-01;;Organico;;;Plano Empresarial;Não tem interesse;Não tem interesse | Ligamos e falamos com a Ana proprietária, para marcar um horário para apresentar, porém nesse momento eles não tem interesse.
Casa Da Limpeza;6436215069;;;2024-08-01;;Organico;;;Plano Empresarial;Não tem interesse;Não tem interesse | Ligamos e falamos com o Leonardo proprietário, para marcar um horário, porém não tem interesse.
Torneadora Brasil;64993275244;;;2024-08-01;;Organico;;;Plano Empresarial;Não responde;Aguardando resposta | Não atendeu o telefone, enviamos mensagem
Agrideia Mec De Precisão;6436120699;;;2024-08-01;;Organico;;;Plano Empresarial;Follow-Up;Ligar mais tarde | Falamos com e Jessica atendente, os proprietários não estavam.
Biscoito Jesus E Bom;64984449424;;;2024-08-01;;Organico;;;Plano Empresarial;Follow-Up;Aguardando retorno do Everaldo | Falei com o Everaldo para nós apoiar com o pessoal da empresa, visto que eles tem contato a bastante tempo.
Instituto Visão;64996080188;;;2024-07-26;;Organico;;;Plano Empresarial;Apresentação/Negociação;Entramos em contato e foi marcado para apresentar o plano dia 01.08.2024.
Rio Verde Madeiras;64992028185;;;2024-07-31;;Organico;;;Plano Empresarial;Apresentação/Negociação;Esta avaliando a possibilidade de marcarmos reunião com eles.
Pressão Turbos;64992757942;;;2024-07-31;;Organico;;;Plano Empresarial;Não responde;Não respondeu até hoje | Ligamos e não atendeu, enviamos mensagem via WhatsApp
WF Torno;64984321620;;;2024-07-31;;Organico;;;Plano Empresarial;Não responde;Não respondeu até hoje | Ligamos e não atendeu, enviamos mensagem via WhatsApp
Gna Transportes;64981117395;;;2024-07-31;;Organico;;;Plano Empresarial;Não responde;Não respondeu até hoje | Ligamos e não atendeu, enviamos mensagem via WhatsApp
Xerox Avenida;64992300650;;;2024-07-31;;Organico;;;Plano Empresarial;Não responde;Não atendeu e enviamos mensagem, esperando resposta.
Mastercraft;6436022723;;;2024-07-31;;Organico;;;Plano Empresarial;Follow-Up;Estamos em contato, retornar a partir das 13:30h
D&F Papelaria;64992169965;;;2024-07-31;;Organico;;;Plano Empresarial;Não responde;Não atendeu e enviamos mensagem, esperando resposta.
RK Ar Condicionado;64992275886;;;2024-07-31;;Organico;;;Plano Empresarial;Não responde;Não atendeu e enviamos mensagem, esperando resposta.
Múltipla Escolha Marmoraria;6436212018;;;2024-07-27;;Organico;;;Plano Empresarial;Não tem interesse;No momento eles não tem interesse em fazer o plano, deixou aberto para futuros contatos.
Desentupidora RV;64981432901;;;2024-07-27;;Organico;;;Plano Empresarial;Não tem interesse;Empresa com apenas um colaborador, não sendo possível fazer o plano empresarial.
FORMATO COMUNICACAO VISUAL;6436127777;;;2024-08-09;CDL;Organico;;;Plano Empresarial;Follow-Up;Ligar na semana que vem 15.08.2024 | Ligamos e falamos com o Flávio, pediu para ligar no dia 15.08.2024 para falar com o proprietário.
Tucano Mudanças;64999582494;;;2024-08-08;Field Sales;Organico;;;Plano Empresarial;Follow-Up;Enviado Mensagem 14/10/2024
Tecprint;64981187215;;;2024-10-14;;Organico;;;Plano Empresarial;Follow-Up;Enviado Mensagem 14/10/2024
Furacão;6436132273;;;2024-08-06;;Organico;;;Plano Empresarial;Follow-Up;
CSJ - Fabricas de Rações;64992425610;;;2024-08-14;Field Sales;Organico;;;Plano Empresarial;Follow-Up;Enviamos mensagem para o RH
DISTRIBUIDORA SUDOESTE;6421018000;;;2024-01-01;CDL;Organico;;;Plano Empresarial;Follow-Up;
TERRIL TRANSPORTES;6436223030;;;2024-01-01;CDL;Organico;;;Plano Empresarial;Follow-Up;
PRO-REMEDIOS DISTRIBUIDORA.;6430160017;;;2024-01-01;CDL;Organico;;;Plano Empresarial;Follow-Up;
CATEC;6436212525;;;2024-01-01;CDL;Organico;;;Plano Empresarial;Follow-Up;
LOJAS MARINA;6436120434;;;2024-01-01;CDL;Organico;;;Plano Empresarial;Follow-Up;
BABYLANDIA;6436232776;;;2024-01-01;CDL;Organico;;;Plano Empresarial;Follow-Up;
SONHO MEU;6436121958;;;2024-01-01;CDL;Organico;;;Plano Empresarial;Follow-Up;
OTICAS DINIZ;6436133200;;;2024-01-01;CDL;Organico;;;Plano Empresarial;Follow-Up;
VILLAGE CALCADOS - POPULAR;6436021420;;;2024-01-01;CDL;Organico;;;Plano Empresarial;Follow-Up;
KALANGO TANGO;6436021734;;;2024-01-01;CDL;Organico;;;Plano Empresarial;Follow-Up;
RIO VERDE FERRAMENTAS E ACESSORIOS;6436231047;;;2024-01-01;CDL;Organico;;;Plano Empresarial;Follow-Up;
D'CASA DISTRIBUIDORA DE PRESENTES;6436225485;;;2024-01-01;CDL;Organico;;;Plano Empresarial;Follow-Up;
ICRI-INSTITUTO DE CARDIOLOGIA;6436230123;;;2024-01-01;CDL;Organico;;;Plano Empresarial;Follow-Up;
VIA ANIMALE PET SHOP E CLINICA VETERINARIA;6492797093;;;2024-01-01;CDL;Organico;;;Plano Empresarial;Follow-Up;Enviado mensagem
JOTAEME;6436212373;;;2024-01-01;CDL;Organico;;;Plano Empresarial;Follow-Up;
LOC CENTER;6436133782;;;2024-01-01;CDL;Organico;;;Plano Empresarial;Follow-Up;
RACOES RIO;6436214122;;;2024-01-01;CDL;Organico;;;Plano Empresarial;Follow-Up;
POLI TINTAS;6436211773;;;2024-12-05;CDL;Organico;;;Plano Empresarial;Follow-Up;
A POPULAR CALCADOS;6436235044;;;2024-01-01;CDL;Organico;;;Plano Empresarial;Follow-Up;
GALERA TENNIS;6436134153;;;2024-01-01;CDL;Organico;;;Plano Empresarial;Follow-Up;
MUNDO OTICO;6436131377;;;2024-01-01;CDL;Organico;;;Plano Empresarial;Follow-Up;
CONQUISTA SUPERMERCADO;6436201000;;;2024-01-01;CDL;Organico;;;Plano Empresarial;Follow-Up;
HOSPITAL EVANGELICO DE RIO VERDE;6436114600;;;2024-01-01;CDL;Organico;;;Plano Empresarial;Follow-Up;
A IDEAL TECIDOS;6436213294;;;2024-01-01;CDL;Organico;;;Plano Empresarial;Follow-Up;
MOVEIS CASA FORTE;6430501714;;;2024-01-01;CDL;Organico;;;Plano Empresarial;Follow-Up;
VIVACE;6436218060;;;2024-01-01;CDL;Organico;;;Plano Empresarial;Follow-Up;
DROGARIA SANTA MARCIA;6436136313;;;2024-01-01;CDL;Organico;;;Plano Empresarial;Follow-Up;
MERCADAO DA ELETRONICA;6436212700;;;2024-01-01;CDL;Organico;;;Plano Empresarial;Follow-Up;
SUL MAGAZINE;6436213102;;;2024-01-01;CDL;Organico;;;Plano Empresarial;Follow-Up;
POLY JOIAS;6436213937;;;2024-01-01;CDL;Organico;;;Plano Empresarial;Follow-Up;
ESCRITORIO IDEAL CONTABILIDADE;6436297911;;;2024-01-01;CDL;Organico;;;Plano Empresarial;Follow-Up;
XEROX AVENIDA;6436214598;;;2024-01-01;CDL;Organico;;;Plano Empresarial;Follow-Up;
COLEGIO PROTAGORAS;6430501529;;;2024-01-01;CDL;Organico;;;Plano Empresarial;Follow-Up;
LE BOMBOM;6436216074;;;2024-01-01;CDL;Organico;;;Plano Empresarial;Follow-Up;
CINDERELA CALÇADOS;6436211920;;;2024-01-01;CDL;Organico;;;Plano Empresarial;Follow-Up;
OTICAS DINIZ;6436131514;;;2024-01-01;CDL;Organico;;;Plano Empresarial;Follow-Up;
TARANTELLA PIZZARIA;6436215255;;;2024-01-01;CDL;Organico;;;Plano Empresarial;Follow-Up;
FUJIOKA;6439011000;;;2024-01-01;CDL;Organico;;;Plano Empresarial;Follow-Up;
ELETRO UTIL;6436211515;;;2024-01-01;CDL;Organico;;;Plano Empresarial;Follow-Up;
UNIMED RIO VERDE;6421014900;;;2024-01-01;CDL;Organico;;;Plano Empresarial;Follow-Up;
FELIZ TOK;6436232650;;;2024-01-01;CDL;Organico;;;Plano Empresarial;Follow-Up;
IMOBILIARIA PORTO SEGURO;6436213608;;;2024-01-01;CDL;Organico;;;Plano Empresarial;Follow-Up;
CENTRO DE TOMOGRAFIA COMPUTADORIZADA;6436130769;;;2024-01-01;CDL;Organico;;;Plano Empresarial;Follow-Up;
GUIMARAES JOIAS E ACESSORIOS;6430506441;;;2024-01-01;CDL;Organico;;;Plano Empresarial;Follow-Up;
JOSE DA CRUZ IMOVEIS;6436131375;;;2024-01-01;CDL;Organico;;;Plano Empresarial;Follow-Up;
PROCON;6436028600;;;2024-01-01;CDL;Organico;;;Plano Empresarial;Follow-Up;
SUPERMERCADO DOS CALÇADOS;6436215039;;;2024-01-01;CDL;Organico;;;Plano Empresarial;Follow-Up;
BURALLI BOUTIQUE;6436211978;;;2024-01-01;CDL;Organico;;;Plano Empresarial;Follow-Up;
SUPERTETO;6436211598;;;2024-01-01;CDL;Organico;;;Plano Empresarial;Follow-Up;
O BOTICARIO;6430515105;;;2024-01-01;CDL;Organico;;;Plano Empresarial;Follow-Up;
LOJAS RUBINI;6436134397;;;2024-01-01;CDL;Organico;;;Plano Empresarial;Follow-Up;
PAX RIO VERDE;6436203100;;;2024-01-01;CDL;Organico;;;Plano Empresarial;Follow-Up;
REAL JURIDICA ASSESSORIA EM RECUPERAÇAO DE CREDITO;6421019900;;;2024-01-01;CDL;Organico;;;Plano Empresarial;Follow-Up;
UNIODONTO DE RIO VERDE;6436213688;;;2024-01-01;CDL;Organico;;;Plano Empresarial;Follow-Up;
SUL STORE;64981200707;;;2024-10-14;CDL;Organico;;;Plano Empresarial;Follow-Up;Enviado Mensagem 14/10/2024
EXPRESSO LIGEIRINHO;6430504223;;;2024-10-14;CDL;Organico;;;Plano Empresarial;Follow-Up;Enviado Mensagem 14/10/2024
TECH SHOP INFORMATICA;6436234281;;;2024-01-01;CDL;Organico;;;Plano Empresarial;Follow-Up;
DOMINET;6436131148;;;2024-10-14;CDL;Organico;;;Plano Empresarial;Follow-Up;Enviado Mensagem 14/10/2024
OTICAS UNIMAR;6436210025;;;2024-01-01;CDL;Organico;;;Plano Empresarial;Follow-Up;
FARMÁCIA NOSSA SENHORA DA PENHA LTDA;6436210710;;;2024-08-08;CDL;Organico;;;Plano Empresarial;Não responde;Não atendeu e enviamos mensagem, esperando resposta.
FARMACIA GUIMENES;6436211077;;;2024-01-01;CDL;Organico;;;Plano Empresarial;Não responde;Não atendeu e o número não e de WhatsApp
REAL IMOVEIS;6436214050;;;2024-08-08;CDL;Organico;;;Plano Empresarial;Follow-Up;Falamos com a Elisangela, ela não quis passar o contato do Gerente, pegou nosso contato para ele nos retornar.
CLINICA RADIOLOGICA DE RIO VERDE;6436210905;;;2024-08-08;CDL;Organico;;;Plano Empresarial;Não responde;Não atendeu e enviamos mensagem, esperando resposta.
JOIAS AQUINO;6436211965;;;2024-08-09;CDL;Organico;;;Plano Empresarial;Follow-Up;Falamos com a Daiane, ela não quis passar o contato do Gerente, pegou nosso contato para ele nos retornar.
OTICAS JOTAKA;6436211943;;;2024-08-09;CDL;Organico;;;Plano Empresarial;Não tem interesse;Falamos com a Keila Gerente, disse que não tem interesse em fazer o plano nesse momento.
COLEGIO EDUCAR BRASIL RIO VERDE;6436242600;;;2024-08-08;CDL;Organico;;;Plano Empresarial;Não responde;Não atendeu e enviamos mensagem, esperando resposta.
OTICA COLIRIO;6436215530;;;2024-08-08;CDL;Organico;;;Plano Empresarial;Não responde;Não atendeu e enviamos mensagem, esperando resposta.
NEUZA CABRAL;6436127740;;;2024-10-14;CDL;Organico;;;Plano Empresarial;Follow-Up;Enviado Mensagem 14/10/2024
UTILISERVICE LOCACAO E SERVIÇOS;6436234283;;;2024-01-01;CDL;Organico;;;Plano Empresarial;Follow-Up;
LOJA GAUCHA;6436212022;;;2024-01-01;CDL;Organico;;;Plano Empresarial;Follow-Up;
FRANCO ENGENHARIA E IMOVEIS;6436210208;;;2024-01-01;CDL;Organico;;;Plano Empresarial;Follow-Up;
RINCO INDUSTRIA E COMERCIO;6436114000;;;2024-01-01;CDL;Organico;;;Plano Empresarial;Follow-Up;
SO TRUCKS ACESSORIOS;6436211173;;;2024-01-01;CDL;Organico;;;Plano Empresarial;Follow-Up;
CENTRO DE REPARACAO AUTOMOTIVA FUNIRIO;6436123222;;;2024-01-01;CDL;Organico;;;Plano Empresarial;Follow-Up;
GOMEZ LOCACOES;6436211010;;;2024-10-14;CDL;Organico;;;Plano Empresarial;Follow-Up;Enviado Mensagem 14/10/2024
EDC AUTO ELETRICA;6436133313;;;2024-01-01;CDL;Organico;;;Plano Empresarial;Follow-Up;
DACARI ACESSORIOS;64981054618;;;2024-10-14;CDL;Organico;;;Plano Empresarial;Follow-Up;Enviado Mensagem 14/10/2024
CAROTIN RADIADORES;64992459639;;;2024-10-15;CDL;Organico;;;Plano Empresarial;Apresentação/Negociação;Em contato com a Thamara, empresa com 8 colaboradores, tem interesse em conhecer o plano, enviado apresentação para mostrar para o proprietário em 15/10/2024. | Enviado Mensagem 14/10/2024
GEOTEC POCOS ARTESIANOS;6436237217;;;2024-10-14;CDL;Organico;;;Plano Empresarial;Follow-Up;Enviado Mensagem 14/10/2024
NEGUINHO PECAS, SERVICOS MECANICOS E TRANSPORTES;6436232244;;;2024-01-01;CDL;Organico;;;Plano Empresarial;Follow-Up;
HIDRALEX SERVICOS HIDRAULICOS;64992490668;;;2024-10-14;CDL;Organico;;;Plano Empresarial;Follow-Up;Enviado Mensagem 14/10/2024
DROGA MAIS;6436131051;;;2024-01-01;CDL;Organico;;;Plano Empresarial;Follow-Up;
DROGARIA TRAMONTANA;6436123612;;;2024-01-01;CDL;Organico;;;Plano Empresarial;Follow-Up;
FAÇAQUI;6430543418;;;2024-01-01;CDL;Organico;;;Plano Empresarial;Follow-Up;
ALMEIDA E THOMAZELLI SOCIEDADE DE ADVOGADOS;6436214901;;;2024-01-01;CDL;Organico;;;Plano Empresarial;Follow-Up;
ACDSUL - CONTROLE INTEGRADO DE PRAGAS;6436132179;;;2024-01-01;CDL;Organico;;;Plano Empresarial;Follow-Up;
TATY MODAS;6436116100;;;2024-01-01;CDL;Organico;;;Plano Empresarial;Follow-Up;
ARCAL;6436123111;;;2024-01-01;CDL;Organico;;;Plano Empresarial;Follow-Up;
PRIZER COSMETICS;6436212589;;;2024-01-01;CDL;Organico;;;Plano Empresarial;Follow-Up;
PNEUS CENTRAL;6436122145;;;2024-01-01;CDL;Organico;;;Plano Empresarial;Follow-Up;
PONTO SHOPPING - CENTRO COMERCIAL REIS;64981407244;;;2024-01-01;CDL;Organico;;;Plano Empresarial;Follow-Up;
PAU DA MATA MADEIRA;6436116565;;;2024-01-01;CDL;Organico;;;Plano Empresarial;Follow-Up;
UNIAO AGRO;6436216129;;;2024-01-01;CDL;Organico;;;Plano Empresarial;Follow-Up;
DROGARIA SAO JORGE;6436122633;;;2024-01-01;CDL;Organico;;;Plano Empresarial;Follow-Up;
COLÉGIO OBJETIVO;6436213539;;;2024-01-01;CDL;Organico;;;Plano Empresarial;Follow-Up;
AUTOTECH;6430510213;;;2024-01-01;CDL;Organico;;;Plano Empresarial;Follow-Up;
REVISTA SOCIETY;6436126320;;;2024-01-01;CDL;Organico;;;Plano Empresarial;Follow-Up;
